Year,CO2
01-01-2015,16.17395801
01-01-2016,16.64439168
01-01-2017,16.99880516
01-01-2018,17.32505571
01-01-2019,17.58318613
01-01-2020,17.82042026
01-01-2021,18.08023706
01-01-2022,18.29748709
01-01-2023,18.48847367
01-01-2024,18.70543684
01-01-2025,18.88301118
01-01-2026,19.02981579
01-01-2027,19.17343828
01-01-2028,19.31208626
01-01-2029,19.44624339
01-01-2030,19.57631969
01-01-2031,19.70266635
01-01-2032,19.82558689
01-01-2033,19.94534577
01-01-2034,20.06217511
01-01-2035,20.1762799
01-01-2036,20.28784233
01-01-2037,20.39702511
01-01-2038,20.50397432
01-01-2039,20.60882167
